ticker,company,industry
MMM,3M Company,Industrial Conglomerates
ABT,Abbott Laboratories,Health Care Equipment
ABBV,AbbVie Inc.,Pharmaceuticals
ABMD,ABIOMED Inc,Health Care Equipment
ACN,Accenture plc,IT Consulting & Other Services
ATVI,Activision Blizzard,Interactive Home Entertainment
ADBE,Adobe Inc.,Application Software
AMD,Advanced Micro Devices Inc,Semiconductors
AAP,Advance Auto Parts,Automotive Retail
AES,AES Corp,Independent Power Producers & Energy Traders
AFL,AFLAC Inc,Life & Health Insurance
A,Agilent Technologies Inc,Health Care Equipment
APD,Air Products & Chemicals Inc,Industrial Gases
AKAM,Akamai Technologies Inc,Internet Services & Infrastructure
ALK,Alaska Air Group Inc,Airlines
ALB,Albemarle Corp,Specialty Chemicals
ARE,Alexandria Real Estate Equities,Office REITs
ALXN,Alexion Pharmaceuticals,Biotechnology
ALGN,Align Technology,Health Care Supplies
ALLE,Allegion,Building Products
LNT,Alliant Energy Corp,Electric Utilities
ALL,Allstate Corp,Property & Casualty Insurance
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services
GOOG,Alphabet Inc. (Class C),Interactive Media & Services
MO,Altria Group Inc,Tobacco
AMZN,Amazon.com Inc.,Internet & Direct Marketing Retail
AMCR,Amcor plc,Paper Packaging
AEE,Ameren Corp,Multi-Utilities
AAL,American Airlines Group,Airlines
AEP,American Electric Power,Electric Utilities
AXP,American Express Co,Consumer Finance
AIG,American International Group,Property & Casualty Insurance
AMT,American Tower Corp.,Specialized REITs
AWK,American Water Works Company Inc,Water Utilities
AMP,Ameriprise Financial,Asset Management & Custody Banks
ABC,AmerisourceBergen Corp,Health Care Distributors
AME,AMETEK Inc.,Electrical Components & Equipment
AMGN,Amgen Inc.,Biotechnology
APH,Amphenol Corp,Electronic Components
ADI,"Analog Devices, Inc.",Semiconductors
ANSS,ANSYS,Application Software
ANTM,Anthem,Managed Health Care
AON,Aon plc,Insurance Brokers
AOS,A.O. Smith Corp,Building Products
APA,Apache Corporation,Oil & Gas Exploration & Production
AIV,Apartment Investment & Management,Residential REITs
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals"
AMAT,Applied Materials Inc.,Semiconductor Equipment
APTV,Aptiv PLC,Auto Parts & Equipment
ADM,Archer-Daniels-Midland Co,Agricultural Products
ANET,Arista Networks,Communications Equipment
AJG,Arthur J. Gallagher & Co.,Insurance Brokers
AIZ,Assurant,Multi-line Insurance
T,AT&T Inc.,Integrated Telecommunication Services
ATO,Atmos Energy,Gas Utilities
ADSK,Autodesk Inc.,Application Software
ADP,Automatic Data Processing,Internet Services & Infrastructure
AZO,AutoZone Inc,Specialty Stores
AVB,AvalonBay Communities,Residential REITs
AVY,Avery Dennison Corp,Paper Packaging
BKR,Baker Hughes Co,Oil & Gas Equipment & Services
BLL,Ball Corp,Metal & Glass Containers
BAC,Bank of America Corp,Diversified Banks
BK,The Bank of New York Mellon,Asset Management & Custody Banks
BAX,Baxter International Inc.,Health Care Equipment
BDX,Becton Dickinson,Health Care Equipment
BRK.B,Berkshire Hathaway,Multi-Sector Holdings
BBY,Best Buy Co. Inc.,Computer & Electronics Retail
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services
BIIB,Biogen Inc.,Biotechnology
BLK,BlackRock,Asset Management & Custody Banks
BA,Boeing Company,Aerospace & Defense
BKNG,Booking Holdings Inc,Internet & Direct Marketing Retail
BWA,BorgWarner,Auto Parts & Equipment
BXP,Boston Properties,Office REITs
BSX,Boston Scientific,Health Care Equipment
BMY,Bristol-Myers Squibb,Health Care Distributors
AVGO,Broadcom Inc.,Semiconductors
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services
BF.B,Brown-Forman Corp.,Distillers & Vintners
CHRW,C. H. Robinson Worldwide,Air Freight & Logistics
COG,Cabot Oil & Gas,Oil & Gas Exploration & Production
CDNS,Cadence Design Systems,Application Software
CPB,Campbell Soup,Packaged Foods & Meats
COF,Capital One Financial,Consumer Finance
CAH,Cardinal Health Inc.,Health Care Distributors
KMX,Carmax Inc,Specialty Stores
CCL,Carnival Corp.,"Hotels, Resorts & Cruise Lines"
CARR,Carrier Global,Building Products
CTLT,Catalent,Pharmaceuticals
CAT,Caterpillar Inc.,Construction Machinery & Heavy Trucks
CBOE,Cboe Global Markets,Financial Exchanges & Data
CBRE,CBRE Group,Real Estate Services
CDW,CDW,Technology Distributors
CE,Celanese,Specialty Chemicals
CNC,Centene Corporation,Managed Health Care
CNP,CenterPoint Energy,Multi-Utilities
CERN,Cerner,Health Care Technology
CF,CF Industries Holdings Inc,Fertilizers & Agricultural Chemicals
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage
CHTR,Charter Communications,Cable & Satellite
CVX,Chevron Corp.,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,Restaurants
CB,Chubb Limited,Property & Casualty Insurance
CHD,Church & Dwight,Household Products
CI,CIGNA Corp.,Managed Health Care
CINF,Cincinnati Financial,Property & Casualty Insurance
CTAS,Cintas Corporation,Diversified Support Services
CSCO,Cisco Systems,Communications Equipment
C,Citigroup Inc.,Diversified Banks
CFG,Citizens Financial Group,Regional Banks
CTXS,Citrix Systems,Application Software
CLX,The Clorox Company,Household Products
CME,CME Group Inc.,Financial Exchanges & Data
CMS,CMS Energy,Multi-Utilities
KO,Coca-Cola Company,Soft Drinks
CTSH,Cognizant Technology Solutions,IT Consulting & Other Services
CL,Colgate-Palmolive,Household Products
CMCSA,Comcast Corp.,Cable & Satellite
CMA,Comerica Inc.,Diversified Banks
CAG,Conagra Brands,Packaged Foods & Meats
CXO,Concho Resources,Oil & Gas Exploration & Production
COP,ConocoPhillips,Oil & Gas Exploration & Production
ED,Consolidated Edison,Electric Utilities
STZ,Constellation Brands,Distillers & Vintners
COO,The Cooper Companies,Health Care Supplies
CPRT,Copart Inc,Diversified Support Services
GLW,Corning Inc.,Electronic Components
CTVA,Corteva,Fertilizers & Agricultural Chemicals
COST,Costco Wholesale Corp.,Hypermarkets & Super Centers
CCI,Crown Castle International Corp.,Specialized REITs
CSX,CSX Corp.,Railroads
CMI,Cummins Inc.,Industrial Machinery
CVS,CVS Health,Health Care Services
DHI,D. R. Horton,Homebuilding
DHR,Danaher Corp.,Health Care Equipment
DRI,Darden Restaurants,Restaurants
DVA,DaVita Inc.,Health Care Facilities
DE,Deere & Co.,Agricultural & Farm Machinery
DAL,Delta Air Lines Inc.,Airlines
XRAY,Dentsply Sirona,Health Care Supplies
DVN,Devon Energy,Oil & Gas Exploration & Production
DXCM,DexCom,Health Care Equipment
FANG,Diamondback Energy,Oil & Gas Exploration & Production
DLR,Digital Realty Trust Inc,Specialized REITs
DFS,Discover Financial Services,Consumer Finance
DISCA,"Discovery, Inc. (Class A)",Broadcasting
DISCK,"Discovery, Inc. (Class C)",Broadcasting
DISH,Dish Network,Cable & Satellite
DG,Dollar General,General Merchandise Stores
DLTR,Dollar Tree,General Merchandise Stores
D,Dominion Energy,Electric Utilities
DPZ,Domino's Pizza,Restaurants
DOV,Dover Corporation,Industrial Machinery
DOW,Dow Inc.,Commodity Chemicals
DTE,DTE Energy Co.,Multi-Utilities
DUK,Duke Energy,Electric Utilities
DRE,Duke Realty Corp,Industrial REITs
DD,DuPont de Nemours Inc,Specialty Chemicals
DXC,DXC Technology,IT Consulting & Other Services
EMN,Eastman Chemical,Diversified Chemicals
ETN,Eaton Corporation,Electrical Components & Equipment
EBAY,eBay Inc.,Internet & Direct Marketing Retail
ECL,Ecolab Inc.,Specialty Chemicals
EIX,Edison Int'l,Electric Utilities
EW,Edwards Lifesciences,Health Care Equipment
EA,Electronic Arts,Interactive Home Entertainment
EMR,Emerson Electric Company,Electrical Components & Equipment
ETR,Entergy Corp.,Electric Utilities
EOG,EOG Resources,Oil & Gas Exploration & Production
EFX,Equifax Inc.,Research & Consulting Services
EQIX,Equinix,Specialized REITs
EQR,Equity Residential,Residential REITs
ESS,"Essex Property Trust, Inc.",Residential REITs
EL,Estée Lauder Companies,Personal Products
ETSY,Etsy,Internet & Direct Marketing Retail
EVRG,Evergy,Electric Utilities
ES,Eversource Energy,Multi-Utilities
RE,Everest Re Group Ltd.,Reinsurance
EXC,Exelon Corp.,Multi-Utilities
EXPE,Expedia Group,Internet & Direct Marketing Retail
EXPD,Expeditors,Air Freight & Logistics
EXR,Extra Space Storage,Specialized REITs
XOM,Exxon Mobil Corp.,Integrated Oil & Gas
FFIV,F5 Networks,Communications Equipment
FB,"Facebook, Inc.",Interactive Media & Services
FAST,Fastenal Co,Building Products
FRT,Federal Realty Investment Trust,Retail REITs
FDX,FedEx Corporation,Air Freight & Logistics
FIS,Fidelity National Information Services,Data Processing & Outsourced Services
FITB,Fifth Third Bancorp,Regional Banks
FE,FirstEnergy Corp,Electric Utilities
FRC,First Republic Bank,Regional Banks
FISV,Fiserv Inc,Data Processing & Outsourced Services
FLT,FleetCor Technologies Inc,Data Processing & Outsourced Services
FLIR,FLIR Systems,Electronic Equipment & Instruments
FLS,Flowserve Corporation,Industrial Machinery
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals
F,Ford Motor Company,Automobile Manufacturers
FTNT,Fortinet,Systems Software
FTV,Fortive Corp,Industrial Machinery
FBHS,Fortune Brands Home & Security,Building Products
FOXA,Fox Corporation (Class A),Movies & Entertainment
FOX,Fox Corporation (Class B),Movies & Entertainment
BEN,Franklin Resources,Asset Management & Custody Banks
FCX,Freeport-McMoRan Inc.,Copper
GPS,Gap Inc.,Apparel Retail
GRMN,Garmin Ltd.,Consumer Electronics
IT,Gartner Inc,IT Consulting & Other Services
GD,General Dynamics,Aerospace & Defense
GE,General Electric,Industrial Conglomerates
GIS,General Mills,Packaged Foods & Meats
GM,General Motors,Automobile Manufacturers
GPC,Genuine Parts,Specialty Stores
GILD,Gilead Sciences,Biotechnology
GL,Globe Life Inc.,Life & Health Insurance
GPN,Global Payments Inc.,Data Processing & Outsourced Services
GS,Goldman Sachs Group,Investment Banking & Brokerage
GWW,Grainger (W.W.) Inc.,Industrial Machinery
HAL,Halliburton Co.,Oil & Gas Equipment & Services
HBI,Hanesbrands Inc,"Apparel, Accessories & Luxury Goods"
HIG,Hartford Financial Svc.Gp.,Property & Casualty Insurance
HAS,Hasbro Inc.,Leisure Products
HCA,HCA Healthcare,Health Care Facilities
PEAK,Healthpeak Properties,Health Care REITs
HSIC,Henry Schein,Health Care Distributors
HSY,The Hershey Company,Packaged Foods & Meats
HES,Hess Corporation,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals"
HLT,Hilton Worldwide Holdings Inc,"Hotels, Resorts & Cruise Lines"
HFC,HollyFrontier Corp,Oil & Gas Refining & Marketing
HOLX,Hologic,Health Care Equipment
HD,Home Depot,Home Improvement Retail
HON,Honeywell Int'l Inc.,Industrial Conglomerates
HRL,Hormel Foods Corp.,Packaged Foods & Meats
HST,Host Hotels & Resorts,Hotel & Resort REITs
HWM,Howmet Aerospace,Aerospace & Defense
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals"
HUM,Humana Inc.,Managed Health Care
HBAN,Huntington Bancshares,Regional Banks
HII,Huntington Ingalls Industries,Aerospace & Defense
IEX,IDEX Corporation,Industrial Machinery
IDXX,IDEXX Laboratories,Health Care Equipment
INFO,IHS Markit Ltd.,Research & Consulting Services
ITW,Illinois Tool Works,Industrial Machinery
ILMN,Illumina Inc,Life Sciences Tools & Services
INCY,Incyte,Biotechnology
IR,Ingersoll Rand,Industrial Machinery
INTC,Intel Corp.,Semiconductors
ICE,Intercontinental Exchange,Financial Exchanges & Data
IBM,International Business Machines,IT Consulting & Other Services
IP,International Paper,Paper Packaging
IPG,Interpublic Group,Advertising
IFF,International Flavors & Fragrances,Specialty Chemicals
INTU,Intuit Inc.,Application Software
ISRG,Intuitive Surgical Inc.,Health Care Equipment
IVZ,Invesco Ltd.,Asset Management & Custody Banks
IPGP,IPG Photonics Corp.,Electronic Manufacturing Services
IQV,IQVIA Holdings Inc.,Life Sciences Tools & Services
IRM,Iron Mountain Incorporated,Specialized REITs
JKHY,Jack Henry & Associates,Data Processing & Outsourced Services
J,Jacobs Engineering Group,Construction & Engineering
JBHT,J. B. Hunt Transport Services,Trucking
SJM,JM Smucker,Packaged Foods & Meats
JNJ,Johnson & Johnson,Pharmaceuticals
JCI,Johnson Controls International,Building Products
JPM,JPMorgan Chase & Co.,Diversified Banks
JNPR,Juniper Networks,Communications Equipment
KSU,Kansas City Southern,Railroads
K,Kellogg Co.,Packaged Foods & Meats
KEY,KeyCorp,Regional Banks
KEYS,Keysight Technologies,Electronic Equipment & Instruments
KMB,Kimberly-Clark,Household Products
KIM,Kimco Realty,Retail REITs
KMI,Kinder Morgan,Oil & Gas Storage & Transportation
KLAC,KLA Corporation,Semiconductor Equipment
KHC,Kraft Heinz Co,Packaged Foods & Meats
KR,Kroger Co.,Food Retail
LB,L Brands Inc.,Apparel Retail
LHX,L3Harris Technologies,Aerospace & Defense
LH,Laboratory Corp. of America Holding,Health Care Services
LRCX,Lam Research,Semiconductor Equipment
LW,Lamb Weston Holdings Inc,Packaged Foods & Meats
LVS,Las Vegas Sands,Casinos & Gaming
LEG,Leggett & Platt,Home Furnishings
LDOS,Leidos Holdings,IT Consulting & Other Services
LEN,Lennar Corp.,Homebuilding
LLY,Lilly (Eli) & Co.,Pharmaceuticals
LNC,Lincoln National,Multi-line Insurance
LIN,Linde plc,Industrial Gases
LYV,Live Nation Entertainment,Movies & Entertainment
LKQ,LKQ Corporation,Distributors
LMT,Lockheed Martin Corp.,Aerospace & Defense
L,Loews Corp.,Multi-line Insurance
LOW,Lowe's Cos.,Home Improvement Retail
LUMN,Lumen Technologies,Alternative Carriers
LYB,LyondellBasell,Specialty Chemicals
MTB,M&T Bank Corp.,Regional Banks
MRO,Marathon Oil Corp.,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing
MKTX,MarketAxess,Financial Exchanges & Data
MAR,Marriott Int'l.,"Hotels, Resorts & Cruise Lines"
MMC,Marsh & McLennan,Insurance Brokers
MLM,Martin Marietta Materials,Construction Materials
MAS,Masco Corp.,Building Products
MA,Mastercard Inc.,Data Processing & Outsourced Services
MKC,McCormick & Co.,Packaged Foods & Meats
MXIM,Maxim Integrated Products Inc,Semiconductors
MCD,McDonald's Corp.,Restaurants
MCK,McKesson Corp.,Health Care Distributors
MDT,Medtronic plc,Health Care Equipment
MRK,Merck & Co.,Pharmaceuticals
MET,MetLife Inc.,Life & Health Insurance
MTD,Mettler Toledo,Life Sciences Tools & Services
MGM,MGM Resorts International,Casinos & Gaming
MCHP,Microchip Technology,Semiconductors
MU,Micron Technology,Semiconductors
MSFT,Microsoft Corp.,Systems Software
MAA,Mid-America Apartments,Residential REITs
MHK,Mohawk Industries,Home Furnishings
TAP,Molson Coors Beverage Company,Brewers
MDLZ,Mondelez International,Packaged Foods & Meats
MNST,Monster Beverage,Soft Drinks
MCO,Moody's Corp,Financial Exchanges & Data
MS,Morgan Stanley,Investment Banking & Brokerage
MOS,The Mosaic Company,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions Inc.,Communications Equipment
MSCI,MSCI Inc,Financial Exchanges & Data
MYL,Mylan N.V.,Pharmaceuticals
NDAQ,"Nasdaq, Inc.",Financial Exchanges & Data
NOV,National Oilwell Varco Inc.,Oil & Gas Equipment & Services
NTAP,NetApp,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix Inc.,Movies & Entertainment
NWL,Newell Brands,Housewares & Specialties
NEM,Newmont Corporation,Gold
NWSA,News Corp. Class A,Publishing
NWS,News Corp. Class B,Publishing
NEE,NextEra Energy,Multi-Utilities
NLSN,Nielsen Holdings,Research & Consulting Services
NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods"
NI,NiSource Inc.,Multi-Utilities
NSC,Norfolk Southern Corp.,Railroads
NTRS,Northern Trust Corp.,Asset Management & Custody Banks
NOC,Northrop Grumman,Aerospace & Defense
NLOK,NortonLifeLock,Application Software
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines"
NRG,NRG Energy,Independent Power Producers & Energy Traders
NUE,Nucor Corp.,Steel
NVDA,Nvidia Corporation,Semiconductors
NVR,"NVR, Inc.",Homebuilding
ORLY,O'Reilly Automotive,Specialty Stores
OXY,Occidental Petroleum,Oil & Gas Exploration & Production
ODFL,Old Dominion Freight Line,Trucking
OMC,Omnicom Group,Advertising
OKE,ONEOK,Oil & Gas Storage & Transportation
ORCL,Oracle Corp.,Application Software
OTIS,Otis Worldwide,Industrial Machinery
PCAR,PACCAR Inc.,Construction Machinery & Heavy Trucks
PKG,Packaging Corporation of America,Paper Packaging
PH,Parker-Hannifin,Industrial Machinery
PAYX,Paychex Inc.,Data Processing & Outsourced Services
PAYC,Paycom,Application Software
PYPL,PayPal,Data Processing & Outsourced Services
PNR,Pentair plc,Industrial Machinery
PBCT,People's United Financial,Thrifts & Mortgage Finance
PEP,PepsiCo Inc.,Soft Drinks
PKI,PerkinElmer,Health Care Equipment
PRGO,Perrigo,Pharmaceuticals
PFE,Pfizer Inc.,Pharmaceuticals
PM,Philip Morris International,Tobacco
PSX,Phillips 66,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital,Multi-Utilities
PXD,Pioneer Natural Resources,Oil & Gas Exploration & Production
PNC,PNC Financial Services,Regional Banks
POOL,Pool Corporation,Leisure Products
PPG,PPG Industries,Specialty Chemicals
PPL,PPL Corp.,Electric Utilities
PFG,Principal Financial Group,Life & Health Insurance
PG,Procter & Gamble,Personal Products
PGR,Progressive Corp.,Property & Casualty Insurance
PLD,Prologis,Industrial REITs
PRU,Prudential Financial,Life & Health Insurance
PEG,Public Service Enterprise Group (PSEG),Electric Utilities
PSA,Public Storage,Specialized REITs
PHM,PulteGroup,Homebuilding
PVH,PVH Corp.,"Apparel, Accessories & Luxury Goods"
QRVO,Qorvo,Semiconductors
PWR,Quanta Services Inc.,Construction & Engineering
QCOM,QUALCOMM Inc.,Semiconductors
DGX,Quest Diagnostics,Health Care Services
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods"
RJF,Raymond James Financial Inc.,Investment Banking & Brokerage
RTX,Raytheon Technologies,Aerospace & Defense
O,Realty Income Corporation,Retail REITs
REG,Regency Centers Corporation,Retail REITs
REGN,Regeneron Pharmaceuticals,Biotechnology
RF,Regions Financial Corp.,Regional Banks
RSG,Republic Services Inc,Environmental & Facilities Services
RMD,ResMed,Health Care Equipment
RHI,Robert Half International,Human Resource & Employment Services
ROK,Rockwell Automation Inc.,Electrical Components & Equipment
ROL,Rollins Inc.,Environmental & Facilities Services
ROP,Roper Technologies,Industrial Conglomerates
ROST,Ross Stores,Apparel Retail
RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines"
SPGI,"S&P Global, Inc.",Financial Exchanges & Data
CRM,Salesforce.com,Application Software
SBAC,SBA Communications,Specialized REITs
SLB,Schlumberger Ltd.,Oil & Gas Equipment & Services
STX,Seagate Technology,"Technology Hardware, Storage & Peripherals"
SEE,Sealed Air,Paper Packaging
SRE,Sempra Energy,Multi-Utilities
NOW,ServiceNow,Systems Software
SHW,Sherwin-Williams,Specialty Chemicals
SPG,Simon Property Group Inc,Retail REITs
SWKS,Skyworks Solutions,Semiconductors
SLG,SL Green Realty,Office REITs
SNA,Snap-on,Industrial Machinery
SO,Southern Company,Electric Utilities
LUV,Southwest Airlines,Airlines
SWK,Stanley Black & Decker,Industrial Machinery
SBUX,Starbucks Corp.,Restaurants
STT,State Street Corp.,Asset Management & Custody Banks
STE,STERIS plc,Health Care Equipment
SYK,Stryker Corp.,Health Care Equipment
SIVB,SVB Financial,Regional Banks
SYF,Synchrony Financial,Consumer Finance
SNPS,Synopsys Inc.,Application Software
SYY,Sysco Corp.,Food Distributors
TMUS,T-Mobile US,Wireless Telecommunication Services
TROW,T. Rowe Price Group,Asset Management & Custody Banks
TTWO,Take-Two Interactive,Interactive Home Entertainment
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods"
TGT,Target Corp.,General Merchandise Stores
TEL,TE Connectivity Ltd.,Electronic Manufacturing Services
FTI,TechnipFMC,Oil & Gas Equipment & Services
TDY,Teledyne Technologies,Aerospace & Defense
TFX,Teleflex,Health Care Equipment
TER,Teradyne,Semiconductor Equipment
TXN,Texas Instruments,Semiconductors
TXT,Textron Inc.,Aerospace & Defense
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services
TIF,Tiffany & Co.,"Apparel, Accessories & Luxury Goods"
TJX,TJX Companies Inc.,Apparel Retail
TSCO,Tractor Supply Company,Specialty Stores
TT,Trane Technologies plc,Building Products
TDG,TransDigm Group,Aerospace & Defense
TRV,The Travelers Companies Inc.,Property & Casualty Insurance
TFC,Truist Financial,Regional Banks
TWTR,"Twitter, Inc.",Interactive Media & Services
TYL,Tyler Technologies,Application Software
TSN,Tyson Foods,Packaged Foods & Meats
UDR,"UDR, Inc.",Residential REITs
ULTA,Ulta Beauty,Specialty Stores
USB,U.S. Bancorp,Diversified Banks
UAA,Under Armour (Class A),"Apparel, Accessories & Luxury Goods"
UA,Under Armour (Class C),"Apparel, Accessories & Luxury Goods"
UNP,Union Pacific Corp,Railroads
UAL,United Airlines Holdings,Airlines
UNH,UnitedHealth Group Inc.,Managed Health Care
UPS,United Parcel Service,Air Freight & Logistics
URI,"United Rentals, Inc.",Trading Companies & Distributors
UHS,Universal Health Services,Health Care Facilities
UNM,Unum Group,Life & Health Insurance
VFC,VF Corporation,"Apparel, Accessories & Luxury Goods"
VLO,Valero Energy,Oil & Gas Refining & Marketing
VAR,Varian Medical Systems,Health Care Equipment
VTR,Ventas Inc,Health Care REITs
VRSN,Verisign Inc.,Internet Services & Infrastructure
VRSK,Verisk Analytics,Research & Consulting Services
VZ,Verizon Communications,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals Inc,Biotechnology
VIAC,ViacomCBS,Movies & Entertainment
V,Visa Inc.,Data Processing & Outsourced Services
VNT,Vontier,Electronic Equipment & Instruments
VNO,Vornado Realty Trust,Office REITs
VMC,Vulcan Materials,Construction Materials
WRB,W. R. Berkley Corporation,Property & Casualty Insurance
WAB,Wabtec Corporation,Construction Machinery & Heavy Trucks
WMT,Walmart,Hypermarkets & Super Centers
WBA,Walgreens Boots Alliance,Drug Retail
DIS,The Walt Disney Company,Movies & Entertainment
WM,Waste Management Inc.,Environmental & Facilities Services
WAT,Waters Corporation,Health Care Distributors
WEC,WEC Energy Group,Electric Utilities
WFC,Wells Fargo,Diversified Banks
WELL,Welltower Inc.,Health Care REITs
WST,West Pharmaceutical Services,Health Care Supplies
WDC,Western Digital,"Technology Hardware, Storage & Peripherals"
WU,Western Union Co,Data Processing & Outsourced Services
WRK,WestRock,Paper Packaging
WY,Weyerhaeuser,Specialized REITs
WHR,Whirlpool Corp.,Household Appliances
WMB,Williams Companies,Oil & Gas Storage & Transportation
WLTW,Willis Towers Watson,Insurance Brokers
WYNN,Wynn Resorts Ltd,Casinos & Gaming
XEL,Xcel Energy Inc,Multi-Utilities
XRX,Xerox,"Technology Hardware, Storage & Peripherals"
XLNX,Xilinx,Semiconductors
XYL,Xylem Inc.,Industrial Machinery
YUM,Yum! Brands Inc,Restaurants
ZBRA,Zebra Technologies,Electronic Equipment & Instruments
ZBH,Zimmer Biomet,Health Care Equipment
ZION,Zions Bancorp,Regional Banks
ZTS,Zoetis,Pharmaceuticals
